261,Politeknik Kesehatan Kemenkes Makassar,,,
262,Universitas Hasanuddin,,,
263,Universitas Negeri Makassar,,,
264,Politeknik Pertanian Negeri Pangkajene Kepulauan,,,
265,Politeknik Negeri Ujung pandang,,,
266,Universitas Maiwa Enrekang,,,
267,Politeknik Negeri Media Kreatif,,,
268,Universitas Islam Negeri Makassar,,,
269,UIN Alauddin,,,
270,STAIN Watampone,,,
271,STAIN Parepare,,,
272,IAIN Palopo,,,
273,Akademi Teknik Keselamatan Penerbangan (ATKP) Makasar,,,
274,Sekolah Tinggi Ilmu Adm,,,
275,Sekolah Tinggi Seni Indonesia,,,
276,Sekolah Tinggi Agama Kristen Negeri (STAKN) Toraja,,,
277,Sekolah Tinggi Penyuluhan Pertanian (STTP) Gowa,,,
278,Akademi Teknik Keselamatan Penerbangan Makasar,,,
279,Universitas Haluoleo,,,
280,Sekolah Tinggi Pertanian (STIP) Muna Kampus Baru,,,
281,STAIN Kendari,,,
282,Universitas 19 November Kolaka,,,
283,Universitas Muhammadiyah Kendari,,,
284,Universitas Lakidende,,,
285,Universitas Dayanu Iksanudin,,,
286,Universitas Muhammadiyah Buton,,,
287,Universitas Sulawesi Tenggara,,,
288,IAIN Kendari,,,
289,Universitas Negeri Sulawesi Barat,,,
290,Universitas Pattimura,,,
291,Universitas Darussalam,,,
292,Politeknik Negeri Ambon,,,
293,Politeknik Perikanan Negeri Tual,,,
294,STAKPN Ambon,,,
295,IAIN Ambon,,,
296,Sekolah Tinggi Agama Kristen Protestan Negeri Ambon,,,
297,STAIN Ambon,,,
298,Universitas Khairun,,,
299,IAIN Ternate,,,
300,Universitas Cendrawasih,,,
301,Universitas Musamus Merauke,,,
302,STAIN Al-Fatah,,,
303,Sekolah Tinggi,,,
304,Universitas Negeri Papua,,,
305,STAIN Sorong,,,
306,Sekolah Tinggi Penyuluhan Pertanian (STTP) Manokwari,,,
